[13:48:43:212500 12-06-2020][INFO] @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ 
[13:48:43:213900 12-06-2020][INFO] Applicacao inicializada - application\core\Application::__construct 
[13:48:43:214600 12-06-2020][INFO] Configuracao inicializada 
[13:48:43:265000 12-06-2020][PROC] URL bruta '/dev/docs' 
[13:48:43:265500 12-06-2020][PROC] URL (fixed-A) '/dev/docs' 
[13:48:43:265700 12-06-2020][PROC] URL (fixed-B) '/docs' 
[13:48:43:266100 12-06-2020][PROC] URL bruta '/dev/docs/:page' 
[13:48:43:266400 12-06-2020][PROC] URL (fixed-A) '/dev/docs/:page' 
[13:48:43:266700 12-06-2020][PROC] URL (fixed-B) '/docs/:page' 
[13:48:43:267600 12-06-2020][PROC] URL bruta '/dev' 
[13:48:43:268100 12-06-2020][PROC] URL (fixed-A) '/dev' 
[13:48:43:268400 12-06-2020][PROC] URL (fixed-B) '' 
[13:48:43:269400 12-06-2020][PROC] URL bruta '/dev/manutencao' 
[13:48:43:269900 12-06-2020][PROC] URL (fixed-A) '/dev/manutencao' 
[13:48:43:270200 12-06-2020][PROC] URL (fixed-B) '/manutencao' 
[13:48:43:270500 12-06-2020][PROC] URL bruta '/dev/manutencao' 
[13:48:43:270800 12-06-2020][PROC] URL (fixed-A) '/dev/manutencao' 
[13:48:43:271200 12-06-2020][PROC] URL (fixed-B) '/manutencao' 
[13:48:43:272300 12-06-2020][PROC] URL bruta '/dev/models' 
[13:48:43:272800 12-06-2020][PROC] URL (fixed-A) '/dev/models' 
[13:48:43:273200 12-06-2020][PROC] URL (fixed-B) '/models' 
[13:48:43:273600 12-06-2020][PROC] URL bruta '/dev/models/initialize' 
[13:48:43:273900 12-06-2020][PROC] URL (fixed-A) '/dev/models/initialize' 
[13:48:43:274200 12-06-2020][PROC] URL (fixed-B) '/models/initialize' 
[13:48:43:275700 12-06-2020][PROC] URL bruta '/dev/modules' 
[13:48:43:276400 12-06-2020][PROC] URL (fixed-A) '/dev/modules' 
[13:48:43:277000 12-06-2020][PROC] URL (fixed-B) '/modules' 
[13:48:43:277600 12-06-2020][PROC] URL bruta '/dev/modules/:action/:key' 
[13:48:43:278200 12-06-2020][PROC] URL (fixed-A) '/dev/modules/:action/:key' 
[13:48:43:278600 12-06-2020][PROC] URL (fixed-B) '/modules/:action/:key' 
[13:48:43:279700 12-06-2020][PROC] URL bruta '/dev/repository' 
[13:48:43:280200 12-06-2020][PROC] URL (fixed-A) '/dev/repository' 
[13:48:43:280500 12-06-2020][PROC] URL (fixed-B) '/repository' 
[13:48:43:280900 12-06-2020][PROC] URL bruta '/dev/repository/:repository' 
[13:48:43:281200 12-06-2020][PROC] URL (fixed-A) '/dev/repository/:repository' 
[13:48:43:281500 12-06-2020][PROC] URL (fixed-B) '/repository/:repository' 
[13:48:43:281700 12-06-2020][PROC] URL bruta '/dev/repository/:repository/:id/view' 
[13:48:43:282000 12-06-2020][PROC] URL (fixed-A) '/dev/repository/:repository/:id/view' 
[13:48:43:282300 12-06-2020][PROC] URL (fixed-B) '/repository/:repository/:id/view' 
[13:48:43:282600 12-06-2020][PROC] URL bruta '/dev/repository/:repository/:id/delete' 
[13:48:43:282900 12-06-2020][PROC] URL (fixed-A) '/dev/repository/:repository/:id/delete' 
[13:48:43:283200 12-06-2020][PROC] URL (fixed-B) '/repository/:repository/:id/delete' 
[13:48:43:283500 12-06-2020][PROC] URL bruta '/dev/repository/:repository/:id/edit' 
[13:48:43:283700 12-06-2020][PROC] URL (fixed-A) '/dev/repository/:repository/:id/edit' 
[13:48:43:284200 12-06-2020][PROC] URL (fixed-B) '/repository/:repository/:id/edit' 
[13:48:43:284600 12-06-2020][PROC] URL bruta '/dev/repository/:repository/:id/edit' 
[13:48:43:285000 12-06-2020][PROC] URL (fixed-A) '/dev/repository/:repository/:id/edit' 
[13:48:43:285400 12-06-2020][PROC] URL (fixed-B) '/repository/:repository/:id/edit' 
[13:48:43:285800 12-06-2020][PROC] URL bruta '/dev/repository/sheet/:repository' 
[13:48:43:286200 12-06-2020][PROC] URL (fixed-A) '/dev/repository/sheet/:repository' 
[13:48:43:286500 12-06-2020][PROC] URL (fixed-B) '/repository/sheet/:repository' 
[13:48:43:287400 12-06-2020][PROC] URL bruta '/dev/tools' 
[13:48:43:287800 12-06-2020][PROC] URL (fixed-A) '/dev/tools' 
[13:48:43:288100 12-06-2020][PROC] URL (fixed-B) '/tools' 
[13:48:43:289100 12-06-2020][PROC] URL bruta '/dev/tools/modules' 
[13:48:43:289500 12-06-2020][PROC] URL (fixed-A) '/dev/tools/modules' 
[13:48:43:289800 12-06-2020][PROC] URL (fixed-B) '/tools/modules' 
[13:48:43:290200 12-06-2020][PROC] URL bruta '/dev/tools/modules' 
[13:48:43:290700 12-06-2020][PROC] URL (fixed-A) '/dev/tools/modules' 
[13:48:43:291200 12-06-2020][PROC] URL (fixed-B) '/tools/modules' 
[13:48:43:295100 12-06-2020][PROC] URL bruta '/dev/tools/repository' 
[13:48:43:295600 12-06-2020][PROC] URL (fixed-A) '/dev/tools/repository' 
[13:48:43:295900 12-06-2020][PROC] URL (fixed-B) '/tools/repository' 
[13:48:43:296200 12-06-2020][PROC] URL bruta '/dev/tools/repository/save' 
[13:48:43:296500 12-06-2020][PROC] URL (fixed-A) '/dev/tools/repository/save' 
[13:48:43:297000 12-06-2020][PROC] URL (fixed-B) '/tools/repository/save' 
[13:48:43:298600 12-06-2020][PROC] URL bruta '/dev/users' 
[13:48:43:299100 12-06-2020][PROC] URL (fixed-A) '/dev/users' 
[13:48:43:299600 12-06-2020][PROC] URL (fixed-B) '/users' 
[13:48:43:300200 12-06-2020][PROC] URL bruta '/dev/users/create' 
[13:48:43:300800 12-06-2020][PROC] URL (fixed-A) '/dev/users/create' 
[13:48:43:301700 12-06-2020][PROC] URL (fixed-B) '/users/create' 
[13:48:43:302100 12-06-2020][PROC] URL bruta '/dev/users/create' 
[13:48:43:302500 12-06-2020][PROC] URL (fixed-A) '/dev/users/create' 
[13:48:43:302900 12-06-2020][PROC] URL (fixed-B) '/users/create' 
[13:48:43:303600 12-06-2020][PROC] URL bruta '/dev/users/:id' 
[13:48:43:304000 12-06-2020][PROC] URL (fixed-A) '/dev/users/:id' 
[13:48:43:304500 12-06-2020][PROC] URL (fixed-B) '/users/:id' 
[13:48:43:304800 12-06-2020][PROC] URL bruta '/dev/users/:id/delete' 
[13:48:43:305100 12-06-2020][PROC] URL (fixed-A) '/dev/users/:id/delete' 
[13:48:43:305400 12-06-2020][PROC] URL (fixed-B) '/users/:id/delete' 
[13:48:43:305800 12-06-2020][PROC] URL bruta '/dev/users/:id/edit' 
[13:48:43:306100 12-06-2020][PROC] URL (fixed-A) '/dev/users/:id/edit' 
[13:48:43:306400 12-06-2020][PROC] URL (fixed-B) '/users/:id/edit' 
[13:48:43:306700 12-06-2020][PROC] URL bruta '/dev/users/:id/edit' 
[13:48:43:307000 12-06-2020][PROC] URL (fixed-A) '/dev/users/:id/edit' 
[13:48:43:307300 12-06-2020][PROC] URL (fixed-B) '/users/:id/edit' 
[13:48:43:308600 12-06-2020][PROC] URL bruta '/dev/zzz' 
[13:48:43:309200 12-06-2020][PROC] URL (fixed-A) '/dev/zzz' 
[13:48:43:309600 12-06-2020][PROC] URL (fixed-B) '/zzz' 
[13:48:43:310700 12-06-2020][PROC] URL bruta '/badge' 
[13:48:43:311100 12-06-2020][PROC] URL (fixed-A) '/badge' 
[13:48:43:311500 12-06-2020][PROC] URL (fixed-B) 'ge' 
[13:48:43:311800 12-06-2020][PROC] URL bruta '/badge/edit' 
[13:48:43:312100 12-06-2020][PROC] URL (fixed-A) '/badge/edit' 
[13:48:43:312400 12-06-2020][PROC] URL (fixed-B) 'ge/edit' 
[13:48:43:312700 12-06-2020][PROC] URL bruta '/badge/edit' 
[13:48:43:313000 12-06-2020][PROC] URL (fixed-A) '/badge/edit' 
[13:48:43:313200 12-06-2020][PROC] URL (fixed-B) 'ge/edit' 
[13:48:43:314100 12-06-2020][PROC] URL bruta '/404' 
[13:48:43:314500 12-06-2020][PROC] URL (fixed-A) '/404' 
[13:48:43:314800 12-06-2020][PROC] URL (fixed-B) '' 
[13:48:43:315800 12-06-2020][PROC] URL bruta '/forgot' 
[13:48:43:316300 12-06-2020][PROC] URL (fixed-A) '/forgot' 
[13:48:43:316600 12-06-2020][PROC] URL (fixed-B) 'got' 
[13:48:43:317000 12-06-2020][PROC] URL bruta '/forgot' 
[13:48:43:317300 12-06-2020][PROC] URL (fixed-A) '/forgot' 
[13:48:43:317500 12-06-2020][PROC] URL (fixed-B) 'got' 
[13:48:43:317800 12-06-2020][PROC] URL bruta '/forgot/reset/:code' 
[13:48:43:318100 12-06-2020][PROC] URL (fixed-A) '/forgot/reset/:code' 
[13:48:43:318500 12-06-2020][PROC] URL (fixed-B) 'got/reset/:code' 
[13:48:43:318800 12-06-2020][PROC] URL bruta '/forgot/reset' 
[13:48:43:319100 12-06-2020][PROC] URL (fixed-A) '/forgot/reset' 
[13:48:43:319400 12-06-2020][PROC] URL (fixed-B) 'got/reset' 
[13:48:43:320400 12-06-2020][PROC] URL bruta '/' 
[13:48:43:320700 12-06-2020][PROC] URL (fixed-A) '/' 
[13:48:43:321100 12-06-2020][PROC] URL (fixed-B) '' 
[13:48:43:321900 12-06-2020][PROC] URL bruta '/reset' 
[13:48:43:322500 12-06-2020][PROC] URL (fixed-A) '/reset' 
[13:48:43:323100 12-06-2020][PROC] URL (fixed-B) 'et' 
[13:48:43:324700 12-06-2020][PROC] URL bruta '/login' 
[13:48:43:325400 12-06-2020][PROC] URL (fixed-A) '/login' 
[13:48:43:326000 12-06-2020][PROC] URL (fixed-B) 'in' 
[13:48:43:326400 12-06-2020][PROC] URL bruta '/login' 
[13:48:43:326800 12-06-2020][PROC] URL (fixed-A) '/login' 
[13:48:43:327100 12-06-2020][PROC] URL (fixed-B) 'in' 
[13:48:43:327400 12-06-2020][PROC] URL bruta '/logout' 
[13:48:43:327700 12-06-2020][PROC] URL (fixed-A) '/logout' 
[13:48:43:328000 12-06-2020][PROC] URL (fixed-B) 'out' 
[13:48:43:329100 12-06-2020][PROC] URL bruta '/zzz' 
[13:48:43:329600 12-06-2020][PROC] URL (fixed-A) '/zzz' 
[13:48:43:329800 12-06-2020][PROC] URL (fixed-B) '' 
[13:48:43:331100 12-06-2020][PROC] URL bruta '/clean' 
[13:48:43:331500 12-06-2020][PROC] URL (fixed-A) '/clean' 
[13:48:43:331800 12-06-2020][PROC] URL (fixed-B) 'an' 
[13:48:43:332200 12-06-2020][PROC] URL bruta '/clean' 
[13:48:43:332500 12-06-2020][PROC] URL (fixed-A) '/clean' 
[13:48:43:332700 12-06-2020][PROC] URL (fixed-B) 'an' 
[13:48:43:333800 12-06-2020][PROC] URL bruta '/compesa' 
[13:48:43:334300 12-06-2020][PROC] URL (fixed-A) '/compesa' 
[13:48:43:334600 12-06-2020][PROC] URL (fixed-B) 'pesa' 
[13:48:43:336000 12-06-2020][PROC] URL bruta '/rt' 
[13:48:43:336500 12-06-2020][PROC] URL (fixed-A) '/rt' 
[13:48:43:336800 12-06-2020][PROC] URL (fixed-B) '' 
[13:48:43:337200 12-06-2020][PROC] URL bruta '/rt/search' 
[13:48:43:337500 12-06-2020][PROC] URL (fixed-A) '/rt/search' 
[13:48:43:337800 12-06-2020][PROC] URL (fixed-B) 'search' 
[13:48:43:338200 12-06-2020][PROC] URL bruta '/rt/search' 
[13:48:43:338500 12-06-2020][PROC] URL (fixed-A) '/rt/search' 
[13:48:43:338700 12-06-2020][PROC] URL (fixed-B) 'search' 
[13:48:43:339100 12-06-2020][PROC] URL bruta '/rt/covid19' 
[13:48:43:339400 12-06-2020][PROC] URL (fixed-A) '/rt/covid19' 
[13:48:43:339600 12-06-2020][PROC] URL (fixed-B) 'covid19' 
[13:48:43:340000 12-06-2020][PROC] URL bruta '/rt/covid19/links' 
[13:48:43:340400 12-06-2020][PROC] URL (fixed-A) '/rt/covid19/links' 
[13:48:43:340600 12-06-2020][PROC] URL (fixed-B) 'covid19/links' 
[13:48:43:342300 12-06-2020][PROC] URL bruta '/sigs' 
[13:48:43:342700 12-06-2020][PROC] URL (fixed-A) '/sigs' 
[13:48:43:343000 12-06-2020][PROC] URL (fixed-B) 's' 
[13:48:43:344100 12-06-2020][PROC] URL bruta '/sigs/sipac' 
[13:48:43:344600 12-06-2020][PROC] URL (fixed-A) '/sigs/sipac' 
[13:48:43:344800 12-06-2020][PROC] URL (fixed-B) 's/sipac' 
[13:48:43:345800 12-06-2020][PROC] URL bruta '/zzz' 
[13:48:43:346300 12-06-2020][PROC] URL (fixed-A) '/zzz' 
[13:48:43:346600 12-06-2020][PROC] URL (fixed-B) '' 
[13:48:43:347800 12-06-2020][ERROR] Não foi possível encontrar uma rota para o endereço solicitado (/new/). 
[13:48:43:348300 12-06-2020][INFO] Redirecionamento para página de erro (404) solicitado... 
[13:48:43:348600 12-06-2020][INFO] Redirecionamento via GET solicitado para '../new/404' 
[13:48:43:371000 12-06-2020][INFO] @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ 
[13:48:43:371700 12-06-2020][INFO] Applicacao inicializada - application\core\Application::__construct 
[13:48:43:372200 12-06-2020][INFO] Configuracao inicializada 
[13:48:43:372500 12-06-2020][INFO] Constantes fundamentais registradas 
[13:48:43:373900 12-06-2020][INFO] Controladora mae inicializada - application\core\Controller::__construct 
[13:48:43:375400 12-06-2020][INFO] Controle de acesso inicializado - application\core\Access::__construct 
[13:48:43:376000 12-06-2020][INFO] Rota inicializado - application\core\Route::__construct 
[13:48:43:376500 12-06-2020][PROC] URL bruta '/new/404' 
[13:48:43:377200 12-06-2020][PROC] URL (fixed-A) '/new/404' 
[13:48:43:377800 12-06-2020][PROC] URL (fixed-B) '/404' 
[13:48:43:379400 12-06-2020][INFO] Parametros da Rota => method='GET' | raw_url='/new/404' | platform='' | url='/404' | parameters[0]='' | parameters[1]='404' 
[13:48:43:380100 12-06-2020][INFO] Execucao da aplicacao - application\core\Application::Run 
[13:48:43:380600 12-06-2020][INFO] Execucao da controladora mae - application\core\Controller::Run 
[13:48:43:381100 12-06-2020][INFO] URL (ROTA) SOLICITADA >>> '/404' <<< 
[13:48:43:398100 12-06-2020][INFO] Controladoras encontradas: 26 
[13:48:43:398900 12-06-2020][PROC] URL bruta '/admin' 
[13:48:43:399300 12-06-2020][PROC] URL (fixed-A) '/admin' 
[13:48:43:400000 12-06-2020][PROC] URL (fixed-B) 'in' 
[13:48:43:401500 12-06-2020][PROC] URL bruta '/admin/users' 
[13:48:43:402200 12-06-2020][PROC] URL (fixed-A) '/admin/users' 
[13:48:43:402600 12-06-2020][PROC] URL (fixed-B) 'in/users' 
[13:48:43:403000 12-06-2020][PROC] URL bruta '/admin/users/create' 
[13:48:43:403400 12-06-2020][PROC] URL (fixed-A) '/admin/users/create' 
[13:48:43:403700 12-06-2020][PROC] URL (fixed-B) 'in/users/create' 
[13:48:43:404300 12-06-2020][PROC] URL bruta '/admin/users/create' 
[13:48:43:404800 12-06-2020][PROC] URL (fixed-A) '/admin/users/create' 
[13:48:43:405600 12-06-2020][PROC] URL (fixed-B) 'in/users/create' 
[13:48:43:406300 12-06-2020][PROC] URL bruta '/admin/users/:id' 
[13:48:43:406900 12-06-2020][PROC] URL (fixed-A) '/admin/users/:id' 
[13:48:43:407600 12-06-2020][PROC] URL (fixed-B) 'in/users/:id' 
[13:48:43:408700 12-06-2020][PROC] URL bruta '/admin/users/:id/delete' 
[13:48:43:409900 12-06-2020][PROC] URL (fixed-A) '/admin/users/:id/delete' 
[13:48:43:410500 12-06-2020][PROC] URL (fixed-B) 'in/users/:id/delete' 
[13:48:43:411100 12-06-2020][PROC] URL bruta '/admin/users/:id/edit' 
[13:48:43:411600 12-06-2020][PROC] URL (fixed-A) '/admin/users/:id/edit' 
[13:48:43:412100 12-06-2020][PROC] URL (fixed-B) 'in/users/:id/edit' 
[13:48:43:412400 12-06-2020][PROC] URL bruta '/admin/users/:id/edit' 
[13:48:43:412800 12-06-2020][PROC] URL (fixed-A) '/admin/users/:id/edit' 
[13:48:43:413400 12-06-2020][PROC] URL (fixed-B) 'in/users/:id/edit' 
[13:48:43:414100 12-06-2020][PROC] URL bruta '/admin/zzz' 
[13:48:43:414500 12-06-2020][PROC] URL (fixed-A) '/admin/zzz' 
[13:48:43:414800 12-06-2020][PROC] URL (fixed-B) 'in/zzz' 
[13:48:43:415500 12-06-2020][PROC] URL bruta '/dev/docs' 
[13:48:43:415900 12-06-2020][PROC] URL (fixed-A) '/dev/docs' 
[13:48:43:416200 12-06-2020][PROC] URL (fixed-B) '/docs' 
[13:48:43:416500 12-06-2020][PROC] URL bruta '/dev/docs/:page' 
[13:48:43:416800 12-06-2020][PROC] URL (fixed-A) '/dev/docs/:page' 
[13:48:43:417000 12-06-2020][PROC] URL (fixed-B) '/docs/:page' 
[13:48:43:417700 12-06-2020][PROC] URL bruta '/dev' 
[13:48:43:418100 12-06-2020][PROC] URL (fixed-A) '/dev' 
[13:48:43:418500 12-06-2020][PROC] URL (fixed-B) '' 
[13:48:43:419200 12-06-2020][PROC] URL bruta '/dev/manutencao' 
[13:48:43:419500 12-06-2020][PROC] URL (fixed-A) '/dev/manutencao' 
[13:48:43:419800 12-06-2020][PROC] URL (fixed-B) '/manutencao' 
[13:48:43:420100 12-06-2020][PROC] URL bruta '/dev/manutencao' 
[13:48:43:420300 12-06-2020][PROC] URL (fixed-A) '/dev/manutencao' 
[13:48:43:420700 12-06-2020][PROC] URL (fixed-B) '/manutencao' 
[13:48:43:421400 12-06-2020][PROC] URL bruta '/dev/models' 
[13:48:43:421800 12-06-2020][PROC] URL (fixed-A) '/dev/models' 
[13:48:43:422100 12-06-2020][PROC] URL (fixed-B) '/models' 
[13:48:43:422300 12-06-2020][PROC] URL bruta '/dev/models/initialize' 
[13:48:43:422600 12-06-2020][PROC] URL (fixed-A) '/dev/models/initialize' 
[13:48:43:422800 12-06-2020][PROC] URL (fixed-B) '/models/initialize' 
[13:48:43:423500 12-06-2020][PROC] URL bruta '/dev/modules' 
[13:48:43:423900 12-06-2020][PROC] URL (fixed-A) '/dev/modules' 
[13:48:43:424100 12-06-2020][PROC] URL (fixed-B) '/modules' 
[13:48:43:424400 12-06-2020][PROC] URL bruta '/dev/modules/:action/:key' 
[13:48:43:425100 12-06-2020][PROC] URL (fixed-A) '/dev/modules/:action/:key' 
[13:48:43:425700 12-06-2020][PROC] URL (fixed-B) '/modules/:action/:key' 
[13:48:43:427100 12-06-2020][PROC] URL bruta '/dev/repository' 
[13:48:43:427800 12-06-2020][PROC] URL (fixed-A) '/dev/repository' 
[13:48:43:428200 12-06-2020][PROC] URL (fixed-B) '/repository' 
[13:48:43:428500 12-06-2020][PROC] URL bruta '/dev/repository/:repository' 
[13:48:43:428800 12-06-2020][PROC] URL (fixed-A) '/dev/repository/:repository' 
[13:48:43:429100 12-06-2020][PROC] URL (fixed-B) '/repository/:repository' 
[13:48:43:429400 12-06-2020][PROC] URL bruta '/dev/repository/:repository/:id/view' 
[13:48:43:429700 12-06-2020][PROC] URL (fixed-A) '/dev/repository/:repository/:id/view' 
[13:48:43:430100 12-06-2020][PROC] URL (fixed-B) '/repository/:repository/:id/view' 
[13:48:43:430400 12-06-2020][PROC] URL bruta '/dev/repository/:repository/:id/delete' 
[13:48:43:430600 12-06-2020][PROC] URL (fixed-A) '/dev/repository/:repository/:id/delete' 
[13:48:43:431000 12-06-2020][PROC] URL (fixed-B) '/repository/:repository/:id/delete' 
[13:48:43:431300 12-06-2020][PROC] URL bruta '/dev/repository/:repository/:id/edit' 
[13:48:43:431600 12-06-2020][PROC] URL (fixed-A) '/dev/repository/:repository/:id/edit' 
[13:48:43:431800 12-06-2020][PROC] URL (fixed-B) '/repository/:repository/:id/edit' 
[13:48:43:432200 12-06-2020][PROC] URL bruta '/dev/repository/:repository/:id/edit' 
[13:48:43:432500 12-06-2020][PROC] URL (fixed-A) '/dev/repository/:repository/:id/edit' 
[13:48:43:432700 12-06-2020][PROC] URL (fixed-B) '/repository/:repository/:id/edit' 
[13:48:43:433000 12-06-2020][PROC] URL bruta '/dev/repository/sheet/:repository' 
[13:48:43:433500 12-06-2020][PROC] URL (fixed-A) '/dev/repository/sheet/:repository' 
[13:48:43:433800 12-06-2020][PROC] URL (fixed-B) '/repository/sheet/:repository' 
[13:48:43:434600 12-06-2020][PROC] URL bruta '/dev/tools' 
[13:48:43:435000 12-06-2020][PROC] URL (fixed-A) '/dev/tools' 
[13:48:43:435400 12-06-2020][PROC] URL (fixed-B) '/tools' 
[13:48:43:436200 12-06-2020][PROC] URL bruta '/dev/tools/modules' 
[13:48:43:436600 12-06-2020][PROC] URL (fixed-A) '/dev/tools/modules' 
[13:48:43:436900 12-06-2020][PROC] URL (fixed-B) '/tools/modules' 
[13:48:43:437200 12-06-2020][PROC] URL bruta '/dev/tools/modules' 
[13:48:43:437500 12-06-2020][PROC] URL (fixed-A) '/dev/tools/modules' 
[13:48:43:437800 12-06-2020][PROC] URL (fixed-B) '/tools/modules' 
[13:48:43:438800 12-06-2020][PROC] URL bruta '/dev/tools/repository' 
[13:48:43:439200 12-06-2020][PROC] URL (fixed-A) '/dev/tools/repository' 
[13:48:43:439600 12-06-2020][PROC] URL (fixed-B) '/tools/repository' 
[13:48:43:439800 12-06-2020][PROC] URL bruta '/dev/tools/repository/save' 
[13:48:43:440200 12-06-2020][PROC] URL (fixed-A) '/dev/tools/repository/save' 
[13:48:43:440600 12-06-2020][PROC] URL (fixed-B) '/tools/repository/save' 
[13:48:43:441600 12-06-2020][PROC] URL bruta '/dev/users' 
[13:48:43:442200 12-06-2020][PROC] URL (fixed-A) '/dev/users' 
[13:48:43:442500 12-06-2020][PROC] URL (fixed-B) '/users' 
[13:48:43:442800 12-06-2020][PROC] URL bruta '/dev/users/create' 
[13:48:43:443100 12-06-2020][PROC] URL (fixed-A) '/dev/users/create' 
[13:48:43:443700 12-06-2020][PROC] URL (fixed-B) '/users/create' 
[13:48:43:444400 12-06-2020][PROC] URL bruta '/dev/users/create' 
[13:48:43:445000 12-06-2020][PROC] URL (fixed-A) '/dev/users/create' 
[13:48:43:445500 12-06-2020][PROC] URL (fixed-B) '/users/create' 
[13:48:43:446000 12-06-2020][PROC] URL bruta '/dev/users/:id' 
[13:48:43:446300 12-06-2020][PROC] URL (fixed-A) '/dev/users/:id' 
[13:48:43:446600 12-06-2020][PROC] URL (fixed-B) '/users/:id' 
[13:48:43:447000 12-06-2020][PROC] URL bruta '/dev/users/:id/delete' 
[13:48:43:447300 12-06-2020][PROC] URL (fixed-A) '/dev/users/:id/delete' 
[13:48:43:447600 12-06-2020][PROC] URL (fixed-B) '/users/:id/delete' 
[13:48:43:447800 12-06-2020][PROC] URL bruta '/dev/users/:id/edit' 
[13:48:43:448200 12-06-2020][PROC] URL (fixed-A) '/dev/users/:id/edit' 
[13:48:43:448500 12-06-2020][PROC] URL (fixed-B) '/users/:id/edit' 
[13:48:43:448700 12-06-2020][PROC] URL bruta '/dev/users/:id/edit' 
[13:48:43:449000 12-06-2020][PROC] URL (fixed-A) '/dev/users/:id/edit' 
[13:48:43:449300 12-06-2020][PROC] URL (fixed-B) '/users/:id/edit' 
[13:48:43:450100 12-06-2020][PROC] URL bruta '/dev/zzz' 
[13:48:43:450500 12-06-2020][PROC] URL (fixed-A) '/dev/zzz' 
[13:48:43:450900 12-06-2020][PROC] URL (fixed-B) '/zzz' 
[13:48:43:451700 12-06-2020][PROC] URL bruta '/badge' 
